Al2O3,SiO2,TiO2,CaO,Na2O,FeO,MgO
0.35405231738427545,1.8331089460100318,0.016915430054147407,0.6331771806890507,0.08874546004782263,0.18804136095130092,0.9032815001309662
0.3515371351869704,1.8260089651475995,0.018238698361319996,0.6371956885615994,0.09465011878867785,0.19230677315086087,0.9073714490949054
0.35423749802291066,1.8275821849869562,0.019550669763918328,0.6334697001037843,0.09345174918630407,0.18821495057892731,0.9059675181880203
0.3546730210223075,1.8301961287587933,0.018580786425042232,0.630709635171317,0.09328203157637587,0.19366392455767042,0.899422062581692
0.35726137574822225,1.8276029948642485,0.017303787629358504,0.6353988844602696,0.0944618929495565,0.18897845799819218,0.9026860824572133
0.359699522949632,1.8227294896136241,0.01600839880833425,0.6350705989379918,0.0923635485948098,0.19396838427087912,0.9077541812253593
0.35600666090428396,1.828684889368635,0.01726610508787401,0.6345980708448133,0.0920821866520817,0.19008217975336725,0.903366675806335
0.35671098381615846,1.8233918005535366,0.016526612508881017,0.6398383445511772,0.09588632942726528,0.1877466157851437,0.9095685731009743
0.35834400591391125,1.8290699371646382,0.016464585157868916,0.6365889924058002,0.08999075262344639,0.19316370216064124,0.8966668756059544
0.3569054111670075,1.8254664392438584,0.0165306896039297,0.6382406296319302,0.09293835367663016,0.19580943102068515,0.9001283880629817
0.3470522672333328,1.832742329758771,0.015409466888180073,0.6250562690011737,0.09055737943054053,0.19948888001185602,0.9132941671277994
0.3486480193177768,1.8337318569983345,0.01606209461118069,0.6283983106745022,0.08685124133224498,0.20006788357569252,0.9055482528879869
0.34586692421136384,1.8345109065929928,0.014671900106207648,0.6320140697722694,0.09056357988011053,0.1948579412518056,0.9106801993204239
0.3427071667166716,1.8419835258995618,0.015959481469263567,0.6238927245246016,0.0899909180727687,0.19821482400634463,0.9029502276200098
0.34762158373574803,1.8348046490898362,0.015410697161645004,0.6261336762121723,0.0897003234676791,0.19376618224002587,0.9133869117073781
0.34884873248331105,1.836550710353622,0.015581739410207065,0.6177497237267328,0.09234706265493649,0.200856052607572,0.9076826940856019
0.3492571578473733,1.8346565753523185,0.016236151697307,0.6216244278226288,0.08974639371210431,0.1952491115958527,0.9125820728551555
0.3452813077813926,1.8408205105783209,0.01623406531267138,0.6297486258489435,0.08764759929471218,0.19147847172143162,0.9029179893281946
0.34839725491614626,1.841677871020159,0.016430086356455962,0.6279394853055704,0.08739571673521883,0.18572085818379358,0.9038300010155766
0.3457144683542756,1.840000425204541,0.015142177555536533,0.6250542697113048,0.09377152904642103,0.19032468699977345,0.9088783707141441
0.3552046158611124,1.8335819258745114,0.016777636605703108,0.6375921050259551,0.08910529120517158,0.1895721266258223,0.8947570739935391
0.3641917640821495,1.8342487974188288,0.01714527101545549,0.6275693368829728,0.09235783072513248,0.18814105318545327,0.8890349115772136
0.35978360616048294,1.823882710413397,0.016641673971727375,0.6348011580450491,0.0891370977561597,0.19578969346382485,0.9041164216020733
0.35847835489105223,1.8326758729367179,0.016596482874852953,0.631759366471531,0.09009176628515073,0.19154460766450215,0.8953878987616705
0.3615104926315586,1.833403286670889,0.017466474493635354,0.6323814860810532,0.09038663871401578,0.18644978601019496,0.891970147275358
0.36297555239206325,1.8292206702744715,0.016455125265323153,0.6305682902549637,0.0889290846890431,0.18781865317463223,0.9013335945581978
0.3601085174819878,1.8362065724025978,0.01610413897108688,0.6320082618042723,0.09066898927187911,0.1903453931931895,0.8875276513962469
0.36276944957599366,1.8257887560118156,0.01652023978110319,0.6346736853054415,0.09187781990899692,0.1910558640232319,0.8995593747670008
0.3603795497528478,1.8320863419440676,0.016036128623859485,0.6276765865860594,0.08956804443214793,0.1905608007237451,0.9001643247089957
0.35708420671064817,1.8383001489195396,0.01689604494852296,0.6293264121100471,0.08963340085822306,0.19117989860728865,0.8886582910514559
0.9812608137630003,1.506655096201057,0.007322888912077352,0.5977313046957183,0.010816237233069846,0.5167468141482351,0.3802665716687426
0.9755290555125976,1.510208308416976,0.007812507984790152,0.5986249059813384,0.008618376242608037,0.5201277742527389,0.377602915572189
0.9882896350760376,1.5026058202718051,0.007537974638796529,0.5906681168436259,0.010341254735920602,0.5180716254033615,0.38336758794979175
0.35396009048461097,1.8396106586102372,0.016326896899230597,0.634565263205967,0.09010535326755642,0.184859988644639,0.892706824769764
0.35207578393954503,1.841387304041609,0.017230600149879233,0.6323647615336206,0.09029089929583982,0.18972362087092698,0.8874166836552377
0.3563896573829283,1.8376637142006027,0.01754129688799032,0.6327626183316873,0.09338120146006336,0.1864676464601421,0.8890846262265591
0.35041928829009034,1.8411719522047203,0.015883570180154516,0.6363550486992607,0.09169993451376811,0.19050244720146034,0.8875525596375095
0.35162977442641336,1.8423172985320317,0.01674514464663623,0.6284563576265335,0.08961423342150894,0.19433405097982023,0.8868329266859344
0.3551314736824056,1.836552764375167,0.01672895965528991,0.6235804828046716,0.08742108477199506,0.19505485837485917,0.8983934578499502
0.3549194109194412,1.8378888404102032,0.016641143017463916,0.6367090222675281,0.0910118148292942,0.18773964257600403,0.8886063445073253
0.3545150966173877,1.8388357763494225,0.016462615148937373,0.6300711479437756,0.0947164003367131,0.18882224105628048,0.8913789829087859
0.35367925142711565,1.8434705446499202,0.015160032218536396,0.626299854513739,0.09175166059262639,0.18586683849108426,0.8941774458212773
0.35155569412518894,1.836299824910719,0.016337640698166112,0.6278944213562475,0.09415481889835434,0.19439550109299472,0.8980241956960271
